Original Format,Course Code,Course Code And Number,Course name,Course Number,Subjects
PSYCH 34400 - Clinical Psychology ,PSYCH,PSYCH 34400 , Clinical Psychology ,34400 ,Psychology
PSYCH 34800 - Statistics Practicum in Psychology ,PSYCH,PSYCH 34800 , Statistics Practicum in Psychology ,34800 ,Psychology
PSYCH 35000 - Learning ,PSYCH,PSYCH 35000 , Learning ,35000 ,Psychology
PSYCH 35500 - Ethnic and Cultural Identity Theories ,PSYCH,PSYCH 35500 , Ethnic and Cultural Identity Theories ,35500 ,Psychology
PSYCH 36100 - Psychological Tests ,PSYCH,PSYCH 36100 , Psychological Tests ,36100 ,Psychology
PSYCH 36200 - Psychological Determinants of Health Disparities ,PSYCH,PSYCH 36200 , Psychological Determinants of Health Disparities ,36200 ,Psychology
PSYCH 36300 - Health Behavior Change ,PSYCH,PSYCH 36300 , Health Behavior Change ,36300 ,Psychology
PSYCH 36400 - Sexuality and Health ,PSYCH,PSYCH 36400 , Sexuality and Health ,36400 ,Psychology
PSYCH 36500 - Coping with Chronic Disease ,PSYCH,PSYCH 36500 , Coping with Chronic Disease ,36500 ,Psychology
PSYCH 36600 - Interpersonal Relationships and Health ,PSYCH,PSYCH 36600 , Interpersonal Relationships and Health ,36600 ,Psychology
PSYCH 36700 - Biological and Social Bases of Addictive Behavior ,PSYCH,PSYCH 36700 , Biological and Social Bases of Addictive Behavior ,36700 ,Psychology
PSYCH 36900 - Behavioral Pharmacology ,PSYCH,PSYCH 36900 , Behavioral Pharmacology ,36900 ,Psychology
PSYCH 37000 - Cognitive Development ,PSYCH,PSYCH 37000 , Cognitive Development ,37000 ,Psychology
PSYCH 38000 - Microcomputers in Psychological Research ,PSYCH,PSYCH 38000 , Microcomputers in Psychological Research ,38000 ,Psychology
PSYCH 38100 - Current Topics in Animal Behavior ,PSYCH,PSYCH 38100 , Current Topics in Animal Behavior ,38100 ,Psychology
PSYCH 38200 - Current Topics in Biopsychology ,PSYCH,PSYCH 38200 , Current Topics in Biopsychology ,38200 ,Psychology
PSYCH 38300 - Current Topics in Cognitive Psychology ,PSYCH,PSYCH 38300 , Current Topics in Cognitive Psychology ,38300 ,Psychology
PSYCH 38400 - Current Topics in Developmental Psychology ,PSYCH,PSYCH 38400 , Current Topics in Developmental Psychology ,38400 ,Psychology
PSYCH 38500 - Current Topics in Social Psychology ,PSYCH,PSYCH 38500 , Current Topics in Social Psychology ,38500 ,Psychology
PSYCH 38600 - Current Topics in Clinical Psychology ,PSYCH,PSYCH 38600 , Current Topics in Clinical Psychology ,38600 ,Psychology
PSYCH 38700 - Current Topics in Health Psychology ,PSYCH,PSYCH 38700 , Current Topics in Health Psychology ,38700 ,Psychology
PSYCH 39000 - Special Topics in Psychology III ,PSYCH,PSYCH 39000 , Special Topics in Psychology III ,39000 ,Psychology
PSYCH 39500 - Independent Research in Psychology ,PSYCH,PSYCH 39500 , Independent Research in Psychology ,39500 ,Psychology
PSYCH 39600 - Honors in Psychology ,PSYCH,PSYCH 39600 , Honors in Psychology ,39600 ,Psychology
PSYCH 39800 - Honors in Psychology ,PSYCH,PSYCH 39800 , Honors in Psychology ,39800 ,Psychology
PSYCH 40000 - Special Topics in Psychology IV ,PSYCH,PSYCH 40000 , Special Topics in Psychology IV ,40000 ,Psychology
PUPOL 10000 - Introduction to Public Policy ,PUPOL,PUPOL 10000 , Introduction to Public Policy ,10000 ,Public Policy
PUPOL 40000 - Capstone Seminar ,PUPOL,PUPOL 40000 , Capstone Seminar ,40000 ,Public Policy
REL 11000 - Nature of Religion  ,REL,REL 11000 , Nature of Religion  ,11000 ,Religion
REL 11100 - Approaches to Religion  ,REL,REL 11100 , Approaches to Religion  ,11100 ,Religion
ANTHC 30700 - Anthropology of Religion ,ANTHC,ANTHC 30700 , Anthropology of Religion ,30700 ,Anthropology
REL 26000 - Special Topics: Theoretical Studies in Religion ,REL,REL 26000 , Special Topics: Theoretical Studies in Religion ,26000 ,Religion
REL 27000 - Religion and Psychology  ,REL,REL 27000 , Religion and Psychology  ,27000 ,Religion
REL 31700 - Religion and Film  ,REL,REL 31700 , Religion and Film  ,31700 ,Religion
REL 36000 - Special Topics: Theoretical Studies in Religion ,REL,REL 36000 , Special Topics: Theoretical Studies in Religion ,36000 ,Religion
REL 39000 - Modern Theories of Religion  ,REL,REL 39000 , Modern Theories of Religion  ,39000 ,Religion
REL 20400 - Religious Experience  ,REL,REL 20400 , Religious Experience  ,20400 ,Religion
REL 20500 - Faith and Disbelief  ,REL,REL 20500 , Faith and Disbelief  ,20500 ,Religion
REL 20600 - Ideas of God in Contemporary Western Thought  ,REL,REL 20600 , Ideas of God in Contemporary Western Thought  ,20600 ,Religion
REL 20700 - Religious Sources for Morality  ,REL,REL 20700 , Religious Sources for Morality  ,20700 ,Religion
REL 20800 - Religion and Social Justice  ,REL,REL 20800 , Religion and Social Justice  ,20800 ,Religion
REL 20900 - Religion and Human Rights  ,REL,REL 20900 , Religion and Human Rights  ,20900 ,Religion
REL 21000 - Atheism  ,REL,REL 21000 , Atheism  ,21000 ,Religion
REL 26100 - Special Topics: Issues in Religion ,REL,REL 26100 , Special Topics: Issues in Religion ,26100 ,Religion
REL 30700 - Religious Ideas in Modern Literature  ,REL,REL 30700 , Religious Ideas in Modern Literature  ,30700 ,Religion
REL 30800 - Religion and the Arts  ,REL,REL 30800 , Religion and the Arts  ,30800 ,Religion
REL 30900 - The Religious Meanings of Love and Sex  ,REL,REL 30900 , The Religious Meanings of Love and Sex  ,30900 ,Religion
REL 31000 - The Religious Meanings of Death  ,REL,REL 31000 , The Religious Meanings of Death  ,31000 ,Religion
REL 31100 - Women and Religion  ,REL,REL 31100 , Women and Religion  ,31100 ,Religion
REL 31200 - Religion and Politics  ,REL,REL 31200 , Religion and Politics  ,31200 ,Religion
REL 31300 - Spirit and Nature  ,REL,REL 31300 , Spirit and Nature  ,31300 ,Religion
REL 31500 - The Problem of Evil  ,REL,REL 31500 , The Problem of Evil  ,31500 ,Religion
REL 31600 - Men and Religion  ,REL,REL 31600 , Men and Religion  ,31600 ,Religion
REL 31800 - Religion and Science  ,REL,REL 31800 , Religion and Science  ,31800 ,Religion
REL 31900 - Religion and the Body  ,REL,REL 31900 , Religion and the Body  ,31900 ,Religion
REL 33400 - Mysticism  ,REL,REL 33400 , Mysticism  ,33400 ,Religion
REL 33500 - Myth and Ritual  ,REL,REL 33500 , Myth and Ritual  ,33500 ,Religion
REL 34000 - Homosexuality in World Religions  ,REL,REL 34000 , Homosexuality in World Religions  ,34000 ,Religion
REL 36100 - Special Topics: Issues in Religion ,REL,REL 36100 , Special Topics: Issues in Religion ,36100 ,Religion
HIST 31500 - Christianity in Modern Times ,HIST,HIST 31500 , Christianity in Modern Times ,31500 ,History
REL 21100 - The Sacred Sky:  Astrology in World Religions  ,REL,REL 21100 , The Sacred Sky:  Astrology in World Religions  ,21100 ,Religion
REL 25100 - Asian Religions  ,REL,REL 25100 , Asian Religions  ,25100 ,Religion
REL 25200 - Ancient Near Eastern Religions  ,REL,REL 25200 , Ancient Near Eastern Religions  ,25200 ,Religion
REL 25300 - Abrahamic Religions  ,REL,REL 25300 , Abrahamic Religions  ,25300 ,Religion
REL 25400 - Tribal Religions: From Australia to the Americas  ,REL,REL 25400 , Tribal Religions: From Australia to the Americas  ,25400 ,Religion
REL 25500 - Religions of Two Gods  ,REL,REL 25500 , Religions of Two Gods  ,25500 ,Religion
REL 25600 - Afro-Caribbean Religions  ,REL,REL 25600 , Afro-Caribbean Religions  ,25600 ,Religion
REL 25700 - Religions of Ancient Central and South America  ,REL,REL 25700 , Religions of Ancient Central and South America  ,25700 ,Religion
REL 25800 - Religions of Ancient Europe  ,REL,REL 25800 , Religions of Ancient Europe  ,25800 ,Religion
REL 25800 - Religions of Ancient Europe  ,REL,REL 25800 , Religions of Ancient Europe  ,25800 ,Religion
REL 26200 - Special Topics: Religious Traditions ,REL,REL 26200 , Special Topics: Religious Traditions ,26200 ,Religion
REL 31400 - Religion and Sports  ,REL,REL 31400 , Religion and Sports  ,31400 ,Religion
REL 32000 - Hinduism  ,REL,REL 32000 , Hinduism  ,32000 ,Religion
REL 32100 - Buddhism  ,REL,REL 32100 , Buddhism  ,32100 ,Religion
REL 32200 - Islam  ,REL,REL 32200 , Islam  ,32200 ,Religion
REL 32300 - Christianity  ,REL,REL 32300 , Christianity  ,32300 ,Religion
REL 32400 - Islam and Buddhism  ,REL,REL 32400 , Islam and Buddhism  ,32400 ,Religion
REL 32600 - Religious Meanings of the Qur’ān  ,REL,REL 32600 , Religious Meanings of the Qur’ān  ,32600 ,Religion
REL 33000 - New Testament Religion  ,REL,REL 33000 , New Testament Religion  ,33000 ,Religion
REL 33300 - Christian Theology  ,REL,REL 33300 , Christian Theology  ,33300 ,Religion
REL 33600 - Zen  ,REL,REL 33600 , Zen  ,33600 ,Religion
REL 33700 - Sufism  ,REL,REL 33700 , Sufism  ,33700 ,Religion
REL 36200 - Special Topics: Religious Traditions ,REL,REL 36200 , Special Topics: Religious Traditions ,36200 ,Religion
REL 41000 - Independent Study in Religion ,REL,REL 41000 , Independent Study in Religion ,41000 ,Religion
REL 45000 - Honors Seminar in Religion ,REL,REL 45000 , Honors Seminar in Religion ,45000 ,Religion
REL 49000 - Honors Tutorial in Religion ,REL,REL 49000 , Honors Tutorial in Religion ,49000 ,Religion
FREN 10100 - Elementary French I ,FREN,FREN 10100 , Elementary French I ,10100 ,Romance Languages French
FREN 10200 - Elementary French II ,FREN,FREN 10200 , Elementary French II ,10200 ,Romance Languages French
FREN 10250 - Beginning French Conversation and Cultural Enrichment ,FREN,FREN 10250 , Beginning French Conversation and Cultural Enrichment ,10250 ,Romance Languages French
FREN 10300 - Intensive Elementary French ,FREN,FREN 10300 , Intensive Elementary French ,10300 ,Romance Languages French
FREN 20100 - Intermediate French I ,FREN,FREN 20100 , Intermediate French I ,20100 ,Romance Languages French
FREN 20200 - Intermediate French II ,FREN,FREN 20200 , Intermediate French II ,20200 ,Romance Languages French
FREN 20300 - Intensive Intermediate French ,FREN,FREN 20300 , Intensive Intermediate French ,20300 ,Romance Languages French
FREN 20800 - French for Francophones ,FREN,FREN 20800 , French for Francophones ,20800 ,Romance Languages French
FREN 21100 - Intermediate Grammar and Composition ,FREN,FREN 21100 , Intermediate Grammar and Composition ,21100 ,Romance Languages French
FREN 22000 - Advanced French Conversation ,FREN,FREN 22000 , Advanced French Conversation ,22000 ,Romance Languages French
FREN 24100 - Early French Civilization: From Gothic to Revolution ,FREN,FREN 24100 , Early French Civilization: From Gothic to Revolution ,24100 ,Romance Languages French
FREN 24200 - Modern French Civilization: From Revolution to Present ,FREN,FREN 24200 , Modern French Civilization: From Revolution to Present ,24200 ,Romance Languages French
FREN 25100 - French Literature and the Arts ,FREN,FREN 25100 , French Literature and the Arts ,25100 ,Romance Languages French
FREN 25200 - From Symbolism to Surrealism in French Literature ,FREN,FREN 25200 , From Symbolism to Surrealism in French Literature ,25200 ,Romance Languages French
FREN 25300 - Modern French Theatre: Theory and Practice ,FREN,FREN 25300 , Modern French Theatre: Theory and Practice ,25300 ,Romance Languages French
FREN 25400 - Film and the French Novel ,FREN,FREN 25400 , Film and the French Novel ,25400 ,Romance Languages French
FREN 25500 - New Approaches to Modern French Literature ,FREN,FREN 25500 , New Approaches to Modern French Literature ,25500 ,Romance Languages French
FREN 25600 - Dream and Image  ,FREN,FREN 25600 , Dream and Image  ,25600 ,Romance Languages French
FREN 25700 - Literary Cross-Currents ,FREN,FREN 25700 , Literary Cross-Currents ,25700 ,Romance Languages French
FREN 25800 - French Poetry in Translation ,FREN,FREN 25800 , French Poetry in Translation ,25800 ,Romance Languages French
FREN 25900 - French Theatre in Translation ,FREN,FREN 25900 , French Theatre in Translation ,25900 ,Romance Languages French
FREN 26000 - French Novel in Translation (1600-1900) ,FREN,FREN 26000 , French Novel in Translation (1600-1900) ,26000 ,Romance Languages French
FREN 26100 - Modern French Novel in Translation (1900-Present) ,FREN,FREN 26100 , Modern French Novel in Translation (1900-Present) ,26100 ,Romance Languages French
FREN 26200 - Perspectives on Women in French Literature ,FREN,FREN 26200 , Perspectives on Women in French Literature ,26200 ,Romance Languages French
FREN 27500 - Introduction to French Literature ,FREN,FREN 27500 , Introduction to French Literature ,27500 ,Romance Languages French
FREN 31100 - Advanced French Grammar ,FREN,FREN 31100 , Advanced French Grammar ,31100 ,Romance Languages French
FREN 31200 - French Oral and Written Expression ,FREN,FREN 31200 , French Oral and Written Expression ,31200 ,Romance Languages French
FREN 32100 - French Translation ,FREN,FREN 32100 , French Translation ,32100 ,Romance Languages French
FREN 33500 - French Culture I ,FREN,FREN 33500 , French Culture I ,33500 ,Romance Languages French
FREN 33600 - French Culture II ,FREN,FREN 33600 , French Culture II ,33600 ,Romance Languages French
FREN 33700 - Contemporary French Culture ,FREN,FREN 33700 , Contemporary French Culture ,33700 ,Romance Languages French
FREN 34100 - Survey of French Literature from the Middle Ages to the End of the 17th Century ,FREN,FREN 34100 , Survey of French Literature from the Middle Ages to the End of the 17th Century ,34100 ,Romance Languages French
FREN 34200 - Survey of French Literature from the 18th Century to the Modern Period ,FREN,FREN 34200 , Survey of French Literature from the 18th Century to the Modern Period ,34200 ,Romance Languages French
FREN 34300 - Medieval and Renaissance French Literature ,FREN,FREN 34300 , Medieval and Renaissance French Literature ,34300 ,Romance Languages French
FREN 34400 - 17th Century French Literature ,FREN,FREN 34400 , 17th Century French Literature ,34400 ,Romance Languages French
FREN 34600 - 18th Century French Literature ,FREN,FREN 34600 , 18th Century French Literature ,34600 ,Romance Languages French
FREN 34800 - 19th Century French Literature (1800-1850) ,FREN,FREN 34800 , 19th Century French Literature (1800-1850) ,34800 ,Romance Languages French
FREN 34900 - 19th Century French Literature (1850-1900) ,FREN,FREN 34900 , 19th Century French Literature (1850-1900) ,34900 ,Romance Languages French
FREN 35000 - 20th Century French Literature (1900-1950) ,FREN,FREN 35000 , 20th Century French Literature (1900-1950) ,35000 ,Romance Languages French
FREN 35100 - Contemporary French Literature (1950-present) ,FREN,FREN 35100 , Contemporary French Literature (1950-present) ,35100 ,Romance Languages French
FREN 35300 - Survey of Francophone Literature ,FREN,FREN 35300 , Survey of Francophone Literature ,35300 ,Romance Languages French
FREN 36000 - French Literature: Special Topics ,FREN,FREN 36000 , French Literature: Special Topics ,36000 ,Romance Languages French
FREN 36100 - Middle Ages and the Renaissance: Special Topics ,FREN,FREN 36100 , Middle Ages and the Renaissance: Special Topics ,36100 ,Romance Languages French
FREN 36200 - The 17th Century: Special Topics ,FREN,FREN 36200 , The 17th Century: Special Topics ,36200 ,Romance Languages French
FREN 36300 - The 18th Century: Special Topics ,FREN,FREN 36300 , The 18th Century: Special Topics ,36300 ,Romance Languages French
FREN 36400 - The 19th Century: Special Topics ,FREN,FREN 36400 , The 19th Century: Special Topics ,36400 ,Romance Languages French
FREN 36500 - The 20th Century: Special Topics ,FREN,FREN 36500 , The 20th Century: Special Topics ,36500 ,Romance Languages French
FREN 36600 - French Cinema: Special Topics ,FREN,FREN 36600 , French Cinema: Special Topics ,36600 ,Romance Languages French
FREN 37500 - Seminar in French Literary History ,FREN,FREN 37500 , Seminar in French Literary History ,37500 ,Romance Languages French
FREN 39900 - Second Language Acquisition ,FREN,FREN 39900 , Second Language Acquisition ,39900 ,Romance Languages French
FREN 49100 - Honors Course in French ,FREN,FREN 49100 , Honors Course in French ,49100 ,Romance Languages French
FREN 49500 - Independent Study in French Literature ,FREN,FREN 49500 , Independent Study in French Literature ,49500 ,Romance Languages French
ITAL 10100 - Elementary Italian I ,ITAL,ITAL 10100 , Elementary Italian I ,10100 ,"Romance Languages, Division II"
ITAL 10200 - Elementary Italian II ,ITAL,ITAL 10200 , Elementary Italian II ,10200 ,"Romance Languages, Division II"
ITAL 10251 - Elementary Italian Conversation ,ITAL,ITAL 10251 , Elementary Italian Conversation ,10251 ,"Romance Languages, Division II"
ITAL 10300 - Intensive Elementary Italian ,ITAL,ITAL 10300 , Intensive Elementary Italian ,10300 ,"Romance Languages, Division II"
ITAL 20100 - Intermediate Italian I ,ITAL,ITAL 20100 , Intermediate Italian I ,20100 ,"Romance Languages, Division II"
ITAL 20200 - Intermediate Italian II ,ITAL,ITAL 20200 , Intermediate Italian II ,20200 ,"Romance Languages, Division II"
ITAL 20300 - Intensive Intermediate Italian ,ITAL,ITAL 20300 , Intensive Intermediate Italian ,20300 ,"Romance Languages, Division II"
ITAL 22100 - Italian for Oral Communication ,ITAL,ITAL 22100 , Italian for Oral Communication ,22100 ,"Romance Languages, Division II"
ITAL 26000 - Modern Italian Short Story  ,ITAL,ITAL 26000 , Modern Italian Short Story  ,26000 ,"Romance Languages, Division II"
ITAL 27500 - Masterpieces of Italian Literature ,ITAL,ITAL 27500 , Masterpieces of Italian Literature ,27500 ,"Romance Languages, Division II"
ITAL 27600 - Dante's Divine Comedy in English  ,ITAL,ITAL 27600 , Dante's Divine Comedy in English  ,27600 ,"Romance Languages, Division II"
ITAL 28000 - The Italian Renaissance: An Introduction ,ITAL,ITAL 28000 , The Italian Renaissance: An Introduction ,28000 ,"Romance Languages, Division II"
ITAL 31100 - Advanced Italian Grammar ,ITAL,ITAL 31100 , Advanced Italian Grammar ,31100 ,"Romance Languages, Division II"
ITAL 31200 - Advanced Italian Composition ,ITAL,ITAL 31200 , Advanced Italian Composition ,31200 ,"Romance Languages, Division II"
ITAL 32100 - Italian Translation ,ITAL,ITAL 32100 , Italian Translation ,32100 ,"Romance Languages, Division II"
ITAL 33100 - Italian Phonetics and Diction ,ITAL,ITAL 33100 , Italian Phonetics and Diction ,33100 ,"Romance Languages, Division II"
"ITAL 33400 - Italian Civilization in the Baroque, in English ",ITAL,ITAL 33400 ," Italian Civilization in the Baroque, in English ",33400 ,"Romance Languages, Division II"
ITAL 33500 - Italian Culture I ,ITAL,ITAL 33500 , Italian Culture I ,33500 ,"Romance Languages, Division II"
ITAL 33600 - Italian Culture II ,ITAL,ITAL 33600 , Italian Culture II ,33600 ,"Romance Languages, Division II"
"ITAL 33700 - Italian Women Writers from the Middle Ages to the 18th Century, in English ",ITAL,ITAL 33700 ," Italian Women Writers from the Middle Ages to the 18th Century, in English ",33700 ,"Romance Languages, Division II"
"ITAL 33800 - 19th and 20th Century Italian Women Writers, in English ",ITAL,ITAL 33800 ," 19th and 20th Century Italian Women Writers, in English ",33800 ,"Romance Languages, Division II"
ITAL 33900 - Italian American Women Writers and Artists: Issues of Identity  ,ITAL,ITAL 33900 , Italian American Women Writers and Artists: Issues of Identity  ,33900 ,"Romance Languages, Division II"
ITAL 34100 - Introduction to Italian Literature from the Middle Ages to the 16th Century ,ITAL,ITAL 34100 , Introduction to Italian Literature from the Middle Ages to the 16th Century ,34100 ,"Romance Languages, Division II"
ITAL 34200 - Introduction to Italian Literature from the 16th Century to the Present ,ITAL,ITAL 34200 , Introduction to Italian Literature from the 16th Century to the Present ,34200 ,"Romance Languages, Division II"
ITAL 34300 - Dante's Vita Nuova and Inferno ,ITAL,ITAL 34300 , Dante's Vita Nuova and Inferno ,34300 ,"Romance Languages, Division II"
ITAL 34400 - Dante's Purgatorio and Introduction to Paradiso ,ITAL,ITAL 34400 , Dante's Purgatorio and Introduction to Paradiso ,34400 ,"Romance Languages, Division II"
ITAL 34500 - Dante's Paradiso and Major Prose Works ,ITAL,ITAL 34500 , Dante's Paradiso and Major Prose Works ,34500 ,"Romance Languages, Division II"
"ITAL 34600 - Petrarch, Boccaccio and the Literature of Humanism ",ITAL,ITAL 34600 ," Petrarch, Boccaccio and the Literature of Humanism ",34600 ,"Romance Languages, Division II"
ITAL 34700 - 16th Century Italian Literature ,ITAL,ITAL 34700 , 16th Century Italian Literature ,34700 ,"Romance Languages, Division II"
ITAL 34800 - 17th and 18th Century Literature ,ITAL,ITAL 34800 , 17th and 18th Century Literature ,34800 ,"Romance Languages, Division II"
ITAL 34900 - The Modern Italian Lyric ,ITAL,ITAL 34900 , The Modern Italian Lyric ,34900 ,"Romance Languages, Division II"
ITAL 35000 - The Modern Italian Novel ,ITAL,ITAL 35000 , The Modern Italian Novel ,35000 ,"Romance Languages, Division II"
ITAL 35100 - The Modern Italian Theatre ,ITAL,ITAL 35100 , The Modern Italian Theatre ,35100 ,"Romance Languages, Division II"
ITAL 35200 - The Italian Novel and Cinema ,ITAL,ITAL 35200 , The Italian Novel and Cinema ,35200 ,"Romance Languages, Division II"
ITAL 36000 - The Middle Ages: Special Topics ,ITAL,ITAL 36000 , The Middle Ages: Special Topics ,36000 ,"Romance Languages, Division II"
ITAL 36100 - The Renaissance: Special Topics ,ITAL,ITAL 36100 , The Renaissance: Special Topics ,36100 ,"Romance Languages, Division II"
ITAL 36200 - The 17th Century: Special Topics ,ITAL,ITAL 36200 , The 17th Century: Special Topics ,36200 ,"Romance Languages, Division II"
ITAL 36300 - The 18th Century: Special Topics ,ITAL,ITAL 36300 , The 18th Century: Special Topics ,36300 ,"Romance Languages, Division II"
ITAL 36400 - The 19th Century: Special Topics ,ITAL,ITAL 36400 , The 19th Century: Special Topics ,36400 ,"Romance Languages, Division II"
ITAL 36500 - The 20th Century: Special Topics ,ITAL,ITAL 36500 , The 20th Century: Special Topics ,36500 ,"Romance Languages, Division II"
ITAL 37000 - Italian Literature: Special Topics ,ITAL,ITAL 37000 , Italian Literature: Special Topics ,37000 ,"Romance Languages, Division II"
ITAL 37500 - Seminar in Italian Literary History ,ITAL,ITAL 37500 , Seminar in Italian Literary History ,37500 ,"Romance Languages, Division II"
ITAL 39900 - Second Language Acquisition ,ITAL,ITAL 39900 , Second Language Acquisition ,39900 ,"Romance Languages, Division II"
ITAL 49100 - Honors Course in Italian ,ITAL,ITAL 49100 , Honors Course in Italian ,49100 ,"Romance Languages, Division II"
ITAL 49500 - Independent Study in Italian Literature ,ITAL,ITAL 49500 , Independent Study in Italian Literature ,49500 ,"Romance Languages, Division II"
SPAN 10100 - Elementary Spanish I ,SPAN,SPAN 10100 , Elementary Spanish I ,10100 ,"Romance Languages, Division III, Spanish"
SPAN 10200 - Elementary Spanish II ,SPAN,SPAN 10200 , Elementary Spanish II ,10200 ,"Romance Languages, Division III, Spanish"
SPAN 10251 - Elementary Spanish Conversation ,SPAN,SPAN 10251 , Elementary Spanish Conversation ,10251 ,"Romance Languages, Division III, Spanish"
SPAN 10300 - Intensive Elementary Spanish ,SPAN,SPAN 10300 , Intensive Elementary Spanish ,10300 ,"Romance Languages, Division III, Spanish"
SPAN 10500 - Basic Reading and Writing for Native Speakers of Spanish ,SPAN,SPAN 10500 , Basic Reading and Writing for Native Speakers of Spanish ,10500 ,"Romance Languages, Division III, Spanish"
SPAN 10600 - Oral and Written Skills for Native Speakers of Spanish ,SPAN,SPAN 10600 , Oral and Written Skills for Native Speakers of Spanish ,10600 ,"Romance Languages, Division III, Spanish"
SPAN 20000 - Basic Spanish Review ,SPAN,SPAN 20000 , Basic Spanish Review ,20000 ,"Romance Languages, Division III, Spanish"
SPAN 20100 - Intermediate Spanish I ,SPAN,SPAN 20100 , Intermediate Spanish I ,20100 ,"Romance Languages, Division III, Spanish"
SPAN 20200 - Intermediate Spanish II ,SPAN,SPAN 20200 , Intermediate Spanish II ,20200 ,"Romance Languages, Division III, Spanish"
SPAN 20300 - Intensive Intermediate Spanish ,SPAN,SPAN 20300 , Intensive Intermediate Spanish ,20300 ,"Romance Languages, Division III, Spanish"
SPAN 20700 - Intermediate Spanish for Native Speakers ,SPAN,SPAN 20700 , Intermediate Spanish for Native Speakers ,20700 ,"Romance Languages, Division III, Spanish"
SPAN 20800 - Advanced Spanish for Native Speakers ,SPAN,SPAN 20800 , Advanced Spanish for Native Speakers ,20800 ,"Romance Languages, Division III, Spanish"
SPAN 21000 - Spanish for Social Service Fields ,SPAN,SPAN 21000 , Spanish for Social Service Fields ,21000 ,"Romance Languages, Division III, Spanish"
SPAN 21100 - Spanish Grammar and Composition ,SPAN,SPAN 21100 , Spanish Grammar and Composition ,21100 ,"Romance Languages, Division III, Spanish"
SPAN 21200 - Spanish for Classroom Communication ,SPAN,SPAN 21200 , Spanish for Classroom Communication ,21200 ,"Romance Languages, Division III, Spanish"
SPAN 22100 - Spanish for Oral Communication ,SPAN,SPAN 22100 , Spanish for Oral Communication ,22100 ,"Romance Languages, Division III, Spanish"
SPAN 27000 - Spanish Composition for Spanish Speaking Students ,SPAN,SPAN 27000 , Spanish Composition for Spanish Speaking Students ,27000 ,"Romance Languages, Division III, Spanish"
SPAN 27500 - Readings in Modern Spanish Literature ,SPAN,SPAN 27500 , Readings in Modern Spanish Literature ,27500 ,"Romance Languages, Division III, Spanish"
SPAN 27600 - Readings in Modern Spanish- American Literature ,SPAN,SPAN 27600 , Readings in Modern Spanish- American Literature ,27600 ,"Romance Languages, Division III, Spanish"
SPAN 31100 - The Structure of Modern Spanish ,SPAN,SPAN 31100 , The Structure of Modern Spanish ,31100 ,"Romance Languages, Division III, Spanish"
SPAN 31200 - Advanced Spanish Writing ,SPAN,SPAN 31200 , Advanced Spanish Writing ,31200 ,"Romance Languages, Division III, Spanish"
SPAN 31300 - Spanish Stylistics ,SPAN,SPAN 31300 , Spanish Stylistics ,31300 ,"Romance Languages, Division III, Spanish"
SPAN 31400 - Spanish Writing Workshop I: Poetry ,SPAN,SPAN 31400 , Spanish Writing Workshop I: Poetry ,31400 ,"Romance Languages, Division III, Spanish"
SPAN 31500 - Spanish Writing Workshop II: Narrative ,SPAN,SPAN 31500 , Spanish Writing Workshop II: Narrative ,31500 ,"Romance Languages, Division III, Spanish"
SPAN 32100 - Spanish Translation ,SPAN,SPAN 32100 , Spanish Translation ,32100 ,"Romance Languages, Division III, Spanish"
SPAN 33500 - Spanish Civilization ,SPAN,SPAN 33500 , Spanish Civilization ,33500 ,"Romance Languages, Division III, Spanish"
SPAN 33600 - Latin American Civilization ,SPAN,SPAN 33600 , Latin American Civilization ,33600 ,"Romance Languages, Division III, Spanish"
SPAN 34100 - Introduction to Hispanic Literature I ,SPAN,SPAN 34100 , Introduction to Hispanic Literature I ,34100 ,"Romance Languages, Division III, Spanish"
SPAN 34200 - Introduction to Hispanic Literature II ,SPAN,SPAN 34200 , Introduction to Hispanic Literature II ,34200 ,"Romance Languages, Division III, Spanish"
SPAN 34300 - Spanish Literature of the Middle Ages ,SPAN,SPAN 34300 , Spanish Literature of the Middle Ages ,34300 ,"Romance Languages, Division III, Spanish"
SPAN 34500 - Spanish Drama of the Golden Age ,SPAN,SPAN 34500 , Spanish Drama of the Golden Age ,34500 ,"Romance Languages, Division III, Spanish"
SPAN 34600 - Cervantes ,SPAN,SPAN 34600 , Cervantes ,34600 ,"Romance Languages, Division III, Spanish"
SPAN 34900 - Spanish Prose of the Golden Age ,SPAN,SPAN 34900 , Spanish Prose of the Golden Age ,34900 ,"Romance Languages, Division III, Spanish"
SPAN 35000 - Spanish Poetry of the Golden Age ,SPAN,SPAN 35000 , Spanish Poetry of the Golden Age ,35000 ,"Romance Languages, Division III, Spanish"
SPAN 35300 - Spanish Neoclassicism and Romanticism ,SPAN,SPAN 35300 , Spanish Neoclassicism and Romanticism ,35300 ,"Romance Languages, Division III, Spanish"
SPAN 35500 - Spanish Literature from Realism to World War I ,SPAN,SPAN 35500 , Spanish Literature from Realism to World War I ,35500 ,"Romance Languages, Division III, Spanish"
SPAN 35700 - Early 20th Century Spanish Literature ,SPAN,SPAN 35700 , Early 20th Century Spanish Literature ,35700 ,"Romance Languages, Division III, Spanish"
SPAN 35800 - Post-Civil War Spanish Literature ,SPAN,SPAN 35800 , Post-Civil War Spanish Literature ,35800 ,"Romance Languages, Division III, Spanish"
